,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,FamilySize,isAlone,isLargeFamily,AgeClass,Mother,FareGroup,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,AgeGroup_Child,AgeGroup_Middle Aged,AgeGroup_Senior,AgeGroup_Young Adult
0,0,3,1,22.0,1,0,7.25,2,0,0,66.0,0,-0.5024451714361923,0,1,0,1,0,0,0,0,0,1
1,1,1,0,38.0,1,0,71.2833,2,0,0,38.0,0,0.7868452935884461,0,0,0,0,1,0,0,0,0,0
2,1,3,0,26.0,0,0,7.925,1,1,0,78.0,0,-0.4888542575852486,0,1,1,0,0,0,0,0,0,1
3,1,1,0,35.0,1,0,53.1,2,0,0,35.0,0,0.4207302360686478,0,1,0,0,1,0,0,0,0,0
4,0,3,1,35.0,0,0,8.05,1,1,0,105.0,0,-0.4863374216869257,0,1,0,1,0,0,0,0,0,0
5,0,3,1,28.0,0,0,8.4583,1,1,0,84.0,0,-0.47811642890864375,1,0,0,1,0,0,0,0,0,1
6,0,1,1,54.0,0,0,51.8625,1,1,0,54.0,0,0.395813560675251,0,1,0,1,0,0,0,1,0,0
7,0,3,1,2.0,3,1,21.075,5,0,1,6.0,0,-0.22408312108167944,0,1,0,0,0,0,1,0,0,0
8,1,3,0,27.0,0,2,11.1333,3,0,0,81.0,0,-0.4242561406845337,0,1,0,0,1,0,0,0,0,1
9,1,2,0,14.0,1,0,30.0708,2,0,0,28.0,0,-0.04295550208861426,0,0,0,0,1,0,1,0,0,0
10,1,3,0,4.0,1,1,16.7,3,0,0,12.0,0,-0.312172377522981,0,1,1,0,0,0,1,0,0,0
11,1,1,0,58.0,0,0,26.55,1,1,0,58.0,0,-0.11384570873513637,0,1,1,0,0,0,0,1,0,0
12,0,3,1,20.0,0,0,8.05,1,1,0,60.0,0,-0.4863374216869257,0,1,0,1,0,0,0,0,0,1
13,0,3,1,39.0,1,5,31.275,7,0,1,117.0,1,-0.01870931177853076,0,1,0,1,0,0,0,0,0,0
14,0,3,0,14.0,0,0,7.8542,1,1,0,42.0,0,-0.4902797934380587,0,1,1,0,0,0,1,0,0,0
15,1,2,0,55.0,0,0,16.0,1,1,0,110.0,0,-0.3262666585535892,0,1,0,0,1,0,0,1,0,0
16,0,3,1,2.0,4,1,29.125,6,0,1,6.0,0,-0.06199888922968463,1,0,0,0,0,0,1,0,0,0
